First Actor,First Actor Page,Second Actor,Second Actor Page,Distance
Dwayne Johnson,https://www.imdb.com/name/nm0425005/,Chris Hemsworth,https://www.imdb.com/name/nm1165110/,2
Dwayne Johnson,https://www.imdb.com/name/nm0425005/,Robert Downey Jr.,https://www.imdb.com/name/nm0000375/,2
Dwayne Johnson,https://www.imdb.com/name/nm0425005/,Akshay Kumar,https://www.imdb.com/name/nm0474774/,inf
Dwayne Johnson,https://www.imdb.com/name/nm0425005/,Jackie Chan,https://www.imdb.com/name/nm0000329/,inf
Dwayne Johnson,https://www.imdb.com/name/nm0425005/,Bradley Cooper,https://www.imdb.com/name/nm0177896/,2
Dwayne Johnson,https://www.imdb.com/name/nm0425005/,Adam Sandler,https://www.imdb.com/name/nm0001191/,inf
Dwayne Johnson,https://www.imdb.com/name/nm0425005/,Scarlett Johansson,https://www.imdb.com/name/nm0424060/,inf
Dwayne Johnson,https://www.imdb.com/name/nm0425005/,Sofia Vergara,https://www.imdb.com/name/nm0005527/,inf
Dwayne Johnson,https://www.imdb.com/name/nm0425005/,Chris Evans,https://www.imdb.com/name/nm0262635/,1
Chris Hemsworth,https://www.imdb.com/name/nm1165110/,Dwayne Johnson,https://www.imdb.com/name/nm0425005/,2
Chris Hemsworth,https://www.imdb.com/name/nm1165110/,Robert Downey Jr.,https://www.imdb.com/name/nm0000375/,2
Chris Hemsworth,https://www.imdb.com/name/nm1165110/,Akshay Kumar,https://www.imdb.com/name/nm0474774/,inf
Chris Hemsworth,https://www.imdb.com/name/nm1165110/,Jackie Chan,https://www.imdb.com/name/nm0000329/,inf
Chris Hemsworth,https://www.imdb.com/name/nm1165110/,Bradley Cooper,https://www.imdb.com/name/nm0177896/,1
Chris Hemsworth,https://www.imdb.com/name/nm1165110/,Adam Sandler,https://www.imdb.com/name/nm0001191/,inf
Chris Hemsworth,https://www.imdb.com/name/nm1165110/,Scarlett Johansson,https://www.imdb.com/name/nm0424060/,2
Chris Hemsworth,https://www.imdb.com/name/nm1165110/,Sofia Vergara,https://www.imdb.com/name/nm0005527/,inf
Chris Hemsworth,https://www.imdb.com/name/nm1165110/,Chris Evans,https://www.imdb.com/name/nm0262635/,2
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/,Dwayne Johnson,https://www.imdb.com/name/nm0425005/,2
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/,Chris Hemsworth,https://www.imdb.com/name/nm1165110/,2
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/,Akshay Kumar,https://www.imdb.com/name/nm0474774/,inf
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/,Jackie Chan,https://www.imdb.com/name/nm0000329/,inf
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/,Bradley Cooper,https://www.imdb.com/name/nm0177896/,2
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/,Adam Sandler,https://www.imdb.com/name/nm0001191/,inf
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/,Scarlett Johansson,https://www.imdb.com/name/nm0424060/,2
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/,Sofia Vergara,https://www.imdb.com/name/nm0005527/,inf
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/,Chris Evans,https://www.imdb.com/name/nm0262635/,2
Akshay Kumar,https://www.imdb.com/name/nm0474774/,Dwayne Johnson,https://www.imdb.com/name/nm0425005/,inf
Akshay Kumar,https://www.imdb.com/name/nm0474774/,Chris Hemsworth,https://www.imdb.com/name/nm1165110/,inf
Akshay Kumar,https://www.imdb.com/name/nm0474774/,Robert Downey Jr.,https://www.imdb.com/name/nm0000375/,inf
Akshay Kumar,https://www.imdb.com/name/nm0474774/,Jackie Chan,https://www.imdb.com/name/nm0000329/,inf
Akshay Kumar,https://www.imdb.com/name/nm0474774/,Bradley Cooper,https://www.imdb.com/name/nm0177896/,inf
Akshay Kumar,https://www.imdb.com/name/nm0474774/,Adam Sandler,https://www.imdb.com/name/nm0001191/,inf
Akshay Kumar,https://www.imdb.com/name/nm0474774/,Scarlett Johansson,https://www.imdb.com/name/nm0424060/,inf
Akshay Kumar,https://www.imdb.com/name/nm0474774/,Sofia Vergara,https://www.imdb.com/name/nm0005527/,inf
Akshay Kumar,https://www.imdb.com/name/nm0474774/,Chris Evans,https://www.imdb.com/name/nm0262635/,inf
Jackie Chan,https://www.imdb.com/name/nm0000329/,Dwayne Johnson,https://www.imdb.com/name/nm0425005/,inf
